,ID,Geslacht,Leeftijd,KenmerkenPersonen,Marges,Perioden,Rokers,ExRokers,NooitRokers,Drinkers,ExDrinkers,NooitDrinkers,ZwareDrinkersOnderDrinkers,OvermatigeDrinkersOnderDrinkers,GlazenAlcoholPerDag,Maximaal1GlasPerDagOnderBevolking,RichtlijnAlcoholgebruik12JrOfOuder,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,OpgegevenLengte18JaarOfOuder,OpgegevenGewicht18JaarOfOuder,Ondergewicht,NormaalGewicht,Overgewicht,MatigOvergewicht,ErnstigOvergewicht,VoldoetAanBeweegrichtlijn,VoldoendeMatigIntensieveInspanning,VoldoendeBotSpierversterkActiviteit,WekelijkseSporters,AbonnementSportaanbieder,LidSportvereniging,Inactief,SemiActief,Normactief,Inactief,SemiActief,Normactief,VoldoenAanCombinorm,WekelijkseSporters,HeeftRisicovolleSeksGehad,RisicoOngeplandeZwangerschap1649Jr,HivTest,SoaTestExclHivTest,AnticonceptiegebruikInclPil1649,GebruikAnticonceptiepil1649Jaar,k,Minimaal5DagenPWVoldoendeFruit,k,Minimaal5DagenPWVoldoendeGroente,Minimaal1DagPerWeek,Min2DagenPWWaarvan1XVetteVis,InDeAfgelopen5Jaar,LangerDan5JaarGeleden,Nooit,WeetNiet,InDeAfgelopen2Jaar,LangerDan2JaarGeleden,Nooit,WeetNiet,InDeAfgelopen5Jaar,NietInDeAfgelopen5Jaar,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,InDeAfgelopen2Jaar,LangerDan2JaarGeleden,Nooit,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,Griepprik16JaarOfOuder,Bloeddonoren18Tot70Jaar,Mantelzorger,UrenMantelzorgPerWeek,ZwaarBelasteMantelzorgers
2,2,Totaal mannen en vrouwen,Totaal,Totaal ,Waarde,2018/2019,20.7,30.4,48.9,75.8,11.2,13.0,11.0,10.2,1.2,43.8,42.9,4.6,7.2,22.0,2.0,4.1,10.8,0.5,1.3,4.2,1.1,2.9,7.9,0.7,1.6,5.0,0.6,1.5,6.2,5.6,9.1,23.6,174.2,78.1,2.3,53.7,44.0,31.2,12.8,47.9,53.4,81.3,53.6,23.4,23.6,,,,,,,,,2.8,,3.9,5.1,72.8,35.9,29.3,39.1,20.2,41.9,56.2,16.2,48.4,24.2,23.3,4.0,36.7,18.3,43.6,1.3,,,,50.6,37.7,6.5,5.2,33.3,25.2,30.6,10.9,34.8,26.8,26.3,12.2,22.7,6.6,64.0,6.7,3.5,15.3,79.2,2.0,23.0,,14.9,10.5,13.8
11,11,Totaal mannen en vrouwen,Totaal,Onderwijsniveau: 1 laag,Waarde,2018/2019,26.2,39.4,34.4,66.0,19.0,15.0,11.7,12.2,1.3,54.8,54.8,3.8,4.9,12.3,1.3,2.1,6.2,0.4,0.7,2.8,0.3,0.8,3.9,0.5,0.9,3.6,0.5,0.8,3.6,4.4,5.8,13.7,170.8,78.6,1.4,36.4,62.2,40.5,21.7,35.4,42.9,68.4,29.9,14.3,10.2,,,,,,,,,1.7,,2.2,2.4,68.6,32.4,30.7,40.2,14.6,31.6,57.7,15.4,38.9,42.5,12.3,6.4,50.3,27.8,20.1,1.8,,,,67.8,26.3,3.1,2.9,52.5,21.8,17.5,8.2,51.0,20.7,17.9,10.3,34.9,8.7,49.8,6.7,5.7,22.0,69.5,2.7,38.7,,14.5,15.0,13.2
20,20,Totaal mannen en vrouwen,Totaal,Onderwijsniveau: 2 middelbaar,Waarde,2018/2019,24.3,35.9,39.8,81.8,10.8,7.4,9.2,9.7,1.2,39.4,39.4,4.3,5.7,21.4,1.6,3.1,10.8,0.5,1.0,4.7,0.7,2.1,8.1,0.8,1.5,5.6,0.7,1.3,6.3,4.9,7.1,23.0,174.6,80.2,1.0,42.5,56.5,39.4,17.1,46.6,53.5,78.3,48.0,23.3,17.2,,,,,,,,,2.6,,3.5,4.2,66.2,29.2,28.8,39.6,17.2,38.3,57.2,18.1,59.5,23.7,14.2,2.5,42.0,19.2,38.2,0.7,,,,52.8,40.5,3.1,3.6,36.0,28.3,27.1,8.7,37.2,29.5,22.5,10.8,24.0,7.1,63.3,5.6,3.7,16.2,78.9,1.2,22.5,,18.7,9.9,13.0
29,29,Totaal mannen en vrouwen,Totaal,Onderwijsniveau: 3 hoog,Waarde,2018/2019,13.9,33.1,52.9,88.5,7.0,4.4,8.5,8.6,1.1,33.2,33.2,3.4,5.9,29.1,2.0,4.6,14.1,0.6,1.5,5.2,1.3,3.6,10.4,0.8,1.9,6.3,0.6,1.6,8.3,4.6,8.8,31.2,176.1,77.4,1.4,57.2,41.5,31.6,9.8,56.5,61.1,86.8,65.9,32.6,23.3,,,,,,,,,1.8,,4.9,5.8,70.7,27.4,32.0,42.2,23.4,49.8,64.0,21.6,62.4,18.1,16.9,2.6,34.0,15.7,49.6,0.8,,,,45.0,46.4,4.6,4.0,26.7,32.0,31.1,10.3,29.3,34.0,25.3,11.5,20.2,6.3,67.2,6.3,2.6,14.5,82.0,0.9,18.6,,15.9,8.2,16.3
38,38,Totaal mannen en vrouwen,Totaal,Onderwijsniveau: weet niet of onbekend,Waarde,2018/2019,20.7,33.0,46.3,53.2,19.9,26.9,11.5,8.8,1.1,67.0,67.0,3.3,3.9,11.1,0.4,1.0,4.0,0.0,1.0,3.0,0.0,0.4,1.2,0.0,0.4,1.9,0.4,0.4,1.9,3.3,4.4,12.0,169.8,79.2,1.4,31.2,67.4,42.5,24.9,39.9,47.7,72.7,29.5,14.7,7.5,,,,,,,,,2.3,,5.5,4.3,,,30.7,42.7,19.5,39.3,60.2,17.7,39.2,21.7,17.4,21.7,42.7,19.1,28.4,9.7,,,,61.9,25.5,3.4,9.2,47.2,21.6,15.6,15.6,49.5,19.8,14.6,16.1,31.3,6.6,44.9,17.2,5.2,20.0,63.1,11.7,34.6,,11.2,,
47,47,Totaal mannen en vrouwen,Totaal,Gestandaardiseerd inkomen: 1e 20%-groep,Waarde,2018/2019,30.7,21.8,47.6,60.3,16.7,23.0,15.6,13.0,1.3,56.7,55.9,9.6,14.0,30.3,4.0,6.6,16.4,1.4,3.1,7.4,2.0,4.3,11.7,1.3,2.6,8.1,1.3,2.7,10.2,11.6,16.8,32.0,172.0,76.4,3.3,53.4,43.4,28.3,15.1,41.5,46.5,77.6,40.0,17.5,15.9,,,,,,,,,4.7,,6.8,9.4,71.4,38.1,27.7,35.5,22.6,40.4,54.3,14.6,41.6,22.5,31.1,4.8,27.4,20.2,50.6,1.7,,,,51.3,35.0,8.3,5.4,33.1,21.9,33.1,11.9,36.0,24.6,28.0,11.4,18.3,6.3,67.4,8.0,4.4,14.6,78.4,2.6,21.5,,12.2,13.3,18.6
56,56,Totaal mannen en vrouwen,Totaal,Gestandaardiseerd inkomen: 2e 20%-groep,Waarde,2018/2019,23.8,32.5,43.7,68.7,14.6,16.7,10.0,9.7,1.1,51.6,50.7,4.2,6.2,18.3,1.8,3.3,9.0,0.5,1.1,3.9,0.9,2.1,6.5,0.6,1.4,4.1,0.8,1.5,5.4,4.8,7.6,19.6,172.4,78.3,2.5,47.4,50.1,33.3,16.8,41.6,47.6,76.6,42.0,17.3,16.9,,,,,,,,,2.8,,3.2,4.2,74.8,39.0,30.3,39.0,17.3,37.9,53.5,15.8,39.1,33.2,22.4,5.3,36.8,24.4,37.1,1.6,,,,58.0,31.9,5.9,4.2,42.6,20.9,26.5,9.9,43.3,22.8,22.8,11.1,25.0,8.9,59.4,6.7,4.3,18.9,74.5,2.3,34.0,,14.5,14.7,16.6
65,65,Totaal mannen en vrouwen,Totaal,Gestandaardiseerd inkomen: 3e 20%-groep,Waarde,2018/2019,21.0,31.4,47.6,75.8,12.0,12.2,9.9,9.1,1.1,45.6,44.4,4.3,6.4,20.7,1.5,3.6,10.3,0.3,0.9,3.7,0.8,2.4,7.8,0.5,1.2,4.5,0.4,1.4,5.7,5.1,8.0,22.8,174.0,78.4,1.8,52.9,45.3,32.3,12.9,47.7,54.4,79.9,51.7,22.4,22.8,,,,,,,,,2.5,,3.4,4.2,71.8,32.6,29.9,39.2,18.1,39.7,52.3,14.0,46.9,26.0,22.9,4.3,35.8,19.3,43.4,1.5,,,,50.8,38.8,5.9,4.5,32.4,24.2,32.2,11.1,34.7,26.1,27.1,12.2,22.6,6.3,65.0,6.1,3.3,14.9,79.8,2.0,22.6,,14.6,10.1,12.5
74,74,Totaal mannen en vrouwen,Totaal,Gestandaardiseerd inkomen: 4e 20%-groep,Waarde,2018/2019,16.8,32.8,50.4,81.7,8.5,9.8,9.9,9.1,1.1,38.9,38.1,3.5,5.9,20.5,1.6,3.8,9.9,0.3,0.8,3.6,1.0,2.7,7.1,0.6,1.7,4.7,0.4,1.0,5.6,4.2,7.8,22.2,175.3,78.9,2.3,54.3,43.5,31.2,12.3,50.5,55.9,83.3,59.6,26.7,26.7,,,,,,,,,2.7,,3.2,4.5,73.8,36.2,27.8,39.6,19.2,42.3,55.2,15.2,52.3,23.0,21.1,3.7,38.8,14.9,45.2,1.0,,,,49.2,38.0,6.8,6.0,32.1,25.7,31.2,11.1,32.9,27.4,26.6,13.1,22.9,5.6,64.9,6.6,2.9,14.9,80.5,1.6,21.1,,15.7,10.0,11.6
83,83,Totaal mannen en vrouwen,Totaal,Gestandaardiseerd inkomen: 5e 20%-groep,Waarde,2018/2019,15.1,32.1,52.8,86.1,7.1,6.8,11.4,11.0,1.3,32.4,31.5,2.8,5.3,22.0,1.5,3.7,9.5,0.4,1.0,3.3,1.0,3.2,7.4,0.5,1.4,4.1,0.5,1.4,5.0,3.7,7.1,23.2,176.1,78.1,2.0,58.3,39.7,30.8,9.0,54.5,58.7,86.9,67.8,30.0,32.1,,,,,,,,,2.1,,3.5,4.1,73.2,35.8,30.5,41.4,23.2,47.4,63.6,20.6,58.9,18.5,19.9,2.7,42.9,14.8,41.6,0.8,,,,46.2,42.8,5.5,5.5,29.0,30.7,29.8,10.4,30.0,31.1,26.6,12.4,24.0,6.5,63.6,6.0,3.0,14.0,81.5,1.5,18.5,,16.6,7.2,12.4
